,Hour,Filename,Total_Pellets
132,14,FED007_072124_00.CSV,0.0
133,14,FED008_072224_00.CSV,14.5
134,14,FED009_072224_00.CSV,7.0
135,15,FED001_072224_00.CSV,15.0
136,15,FED002_072224_00.CSV,2.5
137,15,FED003_072224_00.CSV,1.0
138,15,FED004_072224_00.CSV,12.0
139,15,FED005_072224_00.CSV,10.5
140,15,FED006_072224_00.CSV,0.0
141,15,FED007_072124_00.CSV,3.5
142,15,FED008_072224_00.CSV,9.5
143,15,FED009_072224_00.CSV,2.0
144,16,FED001_072224_00.CSV,14.0
145,16,FED002_072224_00.CSV,15.0
146,16,FED003_072224_00.CSV,6.0
147,16,FED004_072224_00.CSV,7.0
148,16,FED005_072224_00.CSV,2.5
149,16,FED006_072224_00.CSV,19.5
150,16,FED007_072124_00.CSV,19.0
151,16,FED008_072224_00.CSV,19.0
152,16,FED009_072224_00.CSV,0.0
153,17,FED001_072224_00.CSV,11.5
154,17,FED002_072224_00.CSV,13.5
155,17,FED003_072224_00.CSV,13.0
156,17,FED004_072224_00.CSV,10.0
157,17,FED005_072224_00.CSV,16.5
158,17,FED006_072224_00.CSV,17.0
159,17,FED007_072124_00.CSV,3.0
160,17,FED008_072224_00.CSV,13.0
161,17,FED009_072224_00.CSV,10.5
162,18,FED001_072224_00.CSV,23.5
163,18,FED002_072224_00.CSV,23.5
164,18,FED003_072224_00.CSV,21.5
165,18,FED004_072224_00.CSV,25.0
166,18,FED005_072224_00.CSV,20.5
167,18,FED006_072224_00.CSV,12.5
168,18,FED007_072124_00.CSV,23.5
169,18,FED008_072224_00.CSV,20.0
170,18,FED009_072224_00.CSV,17.0
171,19,FED001_072224_00.CSV,17.0
172,19,FED002_072224_00.CSV,21.0
173,19,FED003_072224_00.CSV,27.0
174,19,FED004_072224_00.CSV,13.0
175,19,FED005_072224_00.CSV,24.5
176,19,FED006_072224_00.CSV,15.5
177,19,FED007_072124_00.CSV,18.5
178,19,FED008_072224_00.CSV,17.5
179,19,FED009_072224_00.CSV,27.5
180,20,FED001_072224_00.CSV,15.0
181,20,FED002_072224_00.CSV,16.0
182,20,FED003_072224_00.CSV,18.0
183,20,FED004_072224_00.CSV,31.0
184,20,FED005_072224_00.CSV,13.5
185,20,FED006_072224_00.CSV,9.5
186,20,FED007_072124_00.CSV,19.0
187,20,FED008_072224_00.CSV,18.0
188,20,FED009_072224_00.CSV,25.0
189,21,FED001_072224_00.CSV,16.0
190,21,FED002_072224_00.CSV,4.5
191,21,FED003_072224_00.CSV,18.0
