Interval,Filename,Task
18.0,FED004_FR1concat.csv,FR1
17.0,FED004_FR1concat.csv,FR1
717.0,FED004_FR1concat.csv,FR1
569.0,FED004_FR1concat.csv,FR1
66.0,FED004_FR1concat.csv,FR1
257.0,FED004_FR1concat.csv,FR1
23.0,FED004_FR1concat.csv,FR1
1574.0,FED004_FR1concat.csv,FR1
34.0,FED004_FR1concat.csv,FR1
14.0,FED004_FR1concat.csv,FR1
20.0,FED004_FR1concat.csv,FR1
31.0,FED004_FR1concat.csv,FR1
25.0,FED004_FR1concat.csv,FR1
1087.0,FED004_FR1concat.csv,FR1
299.0,FED004_FR1concat.csv,FR1
317.0,FED004_FR1concat.csv,FR1
35.0,FED004_FR1concat.csv,FR1
592.0,FED004_FR1concat.csv,FR1
55.0,FED004_FR1concat.csv,FR1
2585.0,FED004_FR1concat.csv,FR1
21.0,FED004_FR1concat.csv,FR1
18.0,FED004_FR1concat.csv,FR1
29.0,FED004_FR1concat.csv,FR1
25.0,FED004_FR1concat.csv,FR1
1815.0,FED004_FR1concat.csv,FR1
30.0,FED004_FR1concat.csv,FR1
18.0,FED004_FR1concat.csv,FR1
20.0,FED004_FR1concat.csv,FR1
24.0,FED004_FR1concat.csv,FR1
1778.0,FED004_FR1concat.csv,FR1
22.0,FED004_FR1concat.csv,FR1
29.0,FED004_FR1concat.csv,FR1
1749.0,FED004_FR1concat.csv,FR1
264.0,FED004_FR1concat.csv,FR1
28.0,FED004_FR1concat.csv,FR1
17.0,FED004_FR1concat.csv,FR1
27.0,FED004_FR1concat.csv,FR1
204.0,FED004_FR1concat.csv,FR1
404.0,FED004_FR1concat.csv,FR1
492.0,FED004_FR1concat.csv,FR1
48.0,FED004_FR1concat.csv,FR1
32.0,FED004_FR1concat.csv,FR1
53.0,FED004_FR1concat.csv,FR1
3625.0,FED004_FR1concat.csv,FR1
313.0,FED004_FR1concat.csv,FR1
35.0,FED004_FR1concat.csv,FR1
199.0,FED004_FR1concat.csv,FR1
94.0,FED004_FR1concat.csv,FR1
1851.0,FED004_FR1concat.csv,FR1
37.0,FED004_FR1concat.csv,FR1
23.0,FED004_FR1concat.csv,FR1
650.0,FED004_FR1concat.csv,FR1
1455.0,FED004_FR1concat.csv,FR1
81.0,FED004_FR1concat.csv,FR1
37.0,FED004_FR1concat.csv,FR1
113.0,FED004_FR1concat.csv,FR1
19.0,FED004_FR1concat.csv,FR1
36.0,FED004_FR1concat.csv,FR1
41.0,FED004_FR1concat.csv,FR1
961.0,FED004_FR1concat.csv,FR1
31.0,FED004_FR1concat.csv,FR1
21.0,FED004_FR1concat.csv,FR1
957.0,FED004_FR1concat.csv,FR1
115.0,FED004_FR1concat.csv,FR1
509.0,FED004_FR1concat.csv,FR1
811.0,FED004_FR1concat.csv,FR1
1681.0,FED004_FR1concat.csv,FR1
1133.0,FED004_FR1concat.csv,FR1
34.0,FED004_FR1concat.csv,FR1
439.0,FED004_FR1concat.csv,FR1
1552.0,FED004_FR1concat.csv,FR1
