Hour,Group,Total_Pellets
0,FF30 sec timeout,3.9444444444444446
0,FFNo timeout,7.222222222222222
0,FR1No timeout,3.7777777777777777
1,FF30 sec timeout,3.111111111111111
1,FFNo timeout,2.2222222222222223
1,FR1No timeout,1.3888888888888888
2,FF30 sec timeout,4.833333333333333
2,FFNo timeout,4.333333333333333
2,FR1No timeout,1.3333333333333333
3,FF30 sec timeout,2.888888888888889
3,FFNo timeout,5.277777777777778
3,FR1No timeout,1.4444444444444444
4,FF30 sec timeout,2.3333333333333335
4,FFNo timeout,4.666666666666667
4,FR1No timeout,1.6666666666666667
5,FF30 sec timeout,2.3333333333333335
5,FFNo timeout,4.833333333333333
5,FR1No timeout,1.6111111111111112
6,FF30 sec timeout,4.055555555555555
6,FFNo timeout,3.388888888888889
6,FR1No timeout,1.8333333333333333
7,FF30 sec timeout,5.777777777777778
7,FFNo timeout,5.611111111111111
7,FR1No timeout,2.611111111111111
8,FF30 sec timeout,6.277777777777778
8,FFNo timeout,6.277777777777778
8,FR1No timeout,3.4444444444444446
9,FF30 sec timeout,7.722222222222222
9,FFNo timeout,6.222222222222222
9,FR1No timeout,4.444444444444445
10,FF30 sec timeout,10.88888888888889
10,FFNo timeout,11.333333333333334
10,FR1No timeout,4.388888888888889
11,FF30 sec timeout,12.444444444444445
11,FFNo timeout,12.0
11,FR1No timeout,8.333333333333334
12,FF30 sec timeout,18.055555555555557
12,FFNo timeout,20.77777777777778
12,FR1No timeout,13.444444444444445
13,FF30 sec timeout,20.11111111111111
13,FFNo timeout,20.166666666666668
13,FR1No timeout,14.055555555555555
14,FF30 sec timeout,17.0
14,FFNo timeout,18.333333333333332
14,FR1No timeout,12.5
15,FF30 sec timeout,16.055555555555557
15,FFNo timeout,15.944444444444445
15,FR1No timeout,10.222222222222221
16,FF30 sec timeout,14.777777777777779
16,FFNo timeout,15.222222222222221
16,FR1No timeout,9.166666666666666
17,FF30 sec timeout,13.38888888888889
17,FFNo timeout,13.277777777777779
17,FR1No timeout,7.833333333333333
18,FF30 sec timeout,12.777777777777779
18,FFNo timeout,11.61111111111111
18,FR1No timeout,7.555555555555555
19,FF30 sec timeout,8.166666666666666
19,FFNo timeout,9.5
19,FR1No timeout,6.5
20,FF30 sec timeout,11.0
20,FFNo timeout,10.38888888888889
20,FR1No timeout,5.5
21,FF30 sec timeout,8.61111111111111
21,FFNo timeout,7.888888888888889
21,FR1No timeout,4.555555555555555
22,FF30 sec timeout,12.11111111111111
22,FFNo timeout,10.11111111111111
22,FR1No timeout,8.0
23,FF30 sec timeout,9.722222222222221
23,FFNo timeout,11.944444444444445
23,FR1No timeout,5.333333333333333
