MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:38:21,3,3.63,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:42:34,3,3.63,,FR1,Poke,Left,2,0,0,,0,FR1
2024-07-28 10:42:44,3,3.63,,FR1,Poke,Left,3,0,0,,0,FR1
2024-07-28 10:45:57,3,3.62,,FR1,Poke,Left,4,0,0,,0,FR1
2024-07-28 10:47:39,3,3.63,,FR1,Poke,Left,5,0,0,,0,FR1
2024-07-28 10:48:45,3,3.62,3.0,FR1,Pellet,Left,5,0,1,,0,FR1
2024-07-28 10:50:58,3,3.63,,FR1,Poke,Left,6,0,1,,0,FR1
2024-07-28 10:51:23,3,3.62,,FR1,Poke,Left,7,0,1,,0,FR1
2024-07-28 10:54:34,3,3.62,2.0,FR1,Pellet,Left,7,0,2,,0,FR1
2024-07-28 10:55:49,3,3.62,,FR1,Poke,Left,7,1,2,,0,FR1
2024-07-28 12:55:16,3,3.62,,FR1,Poke,Left,8,1,2,,0,FR1
2024-07-28 12:55:22,3,3.62,3.0,FR1,Pellet,Left,8,1,3,1.45,0,FR1
2024-07-28 14:44:19,3,3.62,,FR1,Poke,Left,9,1,3,,0,FR1
2024-07-28 14:44:19,3,3.62,,FR1,Poke,Left,10,1,3,,0,FR1
2024-07-28 14:44:23,3,3.62,2.0,FR1,Pellet,Left,10,1,4,1.07,0,FR1
2024-07-28 17:18:27,3,3.62,,FR1,Poke,Left,10,2,4,,0,FR1
2024-07-28 18:15:08,3,3.62,,FR1,Poke,Left,10,3,4,,0,FR1
2024-07-28 18:29:17,3,3.62,,FR1,Poke,Left,10,4,4,,0,FR1
2024-07-28 18:30:48,3,3.62,,FR1,Poke,Left,11,4,4,,0,FR1
2024-07-28 18:30:50,3,3.62,1.0,FR1,Pellet,Left,11,4,5,1.58,0,FR1
2024-07-28 18:50:26,3,3.62,,FR1,Poke,Left,12,4,5,,0,FR1
2024-07-28 18:50:27,3,3.62,1.0,FR1,Pellet,Left,12,4,6,0.82,0,FR1
2024-07-28 18:50:59,3,3.62,,FR1,Poke,Left,12,5,6,,0,FR1
2024-07-28 18:55:21,3,3.62,,FR1,Poke,Left,12,6,6,,0,FR1
2024-07-28 18:59:31,3,3.62,,FR1,Poke,Left,13,6,6,,0,FR1
2024-07-28 18:59:34,3,3.62,2.0,FR1,Pellet,Left,13,6,7,0.12,0,FR1
2024-07-28 19:00:55,3,3.62,,FR1,Poke,Left,13,7,7,,0,FR1
2024-07-28 19:02:20,3,3.62,,FR1,Poke,Left,14,7,7,,0,FR1
2024-07-28 19:02:21,3,3.62,1.0,FR1,Pellet,Left,14,7,8,0.37,0,FR1
2024-07-28 19:03:51,3,3.62,,FR1,Poke,Left,15,7,8,,0,FR1
2024-07-28 19:03:53,3,3.62,2.0,FR1,Pellet,Left,15,7,9,0.94,0,FR1
2024-07-28 19:04:30,3,3.62,,FR1,Poke,Left,15,8,9,,0,FR1
2024-07-28 19:04:31,3,3.62,,FR1,Poke,Left,15,9,9,,0,FR1
2024-07-28 19:14:50,3,3.62,,FR1,Poke,Left,16,9,9,,0,FR1
2024-07-28 19:14:51,3,3.62,1.0,FR1,Pellet,Left,16,9,10,0.44,0,FR1
2024-07-28 19:15:38,3,3.62,,FR1,Poke,Left,17,9,10,,0,FR1
2024-07-28 19:15:39,3,3.62,,FR1,Poke,Left,18,9,10,,0,FR1
2024-07-28 19:15:42,3,3.62,3.0,FR1,Pellet,Left,18,9,11,0.06,0,FR1
2024-07-28 19:15:54,3,3.62,,FR1,Poke,Left,19,9,11,,0,FR1
2024-07-28 19:15:56,3,3.62,1.0,FR1,Pellet,Left,19,9,12,0.75,0,FR1
2024-07-28 19:16:28,3,3.62,,FR1,Poke,Left,20,9,12,,0,FR1
