MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:39:39,5,3.82,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:40:45,5,3.82,3.0,FR1,Pellet,Left,1,0,1,,0,FR1
2024-07-28 10:48:09,5,3.82,,FR1,Poke,Left,1,1,1,,0,FR1
2024-07-28 12:51:49,5,3.82,,FR1,Poke,Left,2,1,1,,0,FR1
2024-07-28 12:51:54,5,3.82,2.0,FR1,Pellet,Left,2,1,2,1.64,0,FR1
2024-07-28 14:15:14,5,3.81,,FR1,Poke,Left,2,2,2,,0,FR1
2024-07-28 14:16:55,5,3.82,,FR1,Poke,Left,3,2,2,,0,FR1
2024-07-28 14:16:57,5,3.82,1.0,FR1,Pellet,Left,3,2,3,0.88,0,FR1
2024-07-28 14:19:43,5,3.82,,FR1,Poke,Left,3,3,3,,0,FR1
2024-07-28 14:21:07,5,3.82,,FR1,Poke,Left,4,3,3,,0,FR1
2024-07-28 14:21:09,5,3.82,1.0,FR1,Pellet,Left,4,3,4,0.82,0,FR1
2024-07-28 17:20:10,5,3.81,,FR1,Poke,Left,5,3,4,,0,FR1
2024-07-28 17:20:13,5,3.81,2.0,FR1,Pellet,Left,5,3,5,0.25,0,FR1
2024-07-28 17:21:43,5,3.81,,FR1,Poke,Left,5,4,5,,0,FR1
2024-07-28 17:43:39,5,3.8,,FR1,Poke,Left,5,5,5,,0,FR1
2024-07-28 17:43:52,5,3.81,,FR1,Poke,Left,6,5,5,,0,FR1
2024-07-28 17:43:54,5,3.81,1.0,FR1,Pellet,Left,6,5,6,1.51,0,FR1
2024-07-28 17:49:56,5,3.8,,FR1,Poke,Left,6,6,6,,0,FR1
2024-07-28 17:49:57,5,3.81,,FR1,Poke,Left,6,7,6,,0,FR1
2024-07-28 17:51:17,5,3.81,,FR1,Poke,Left,6,8,6,,0,FR1
2024-07-28 18:06:45,5,3.81,,FR1,Poke,Left,6,9,6,,0,FR1
2024-07-28 18:08:28,5,3.8,,FR1,Poke,Left,7,9,6,,0,FR1
2024-07-28 18:08:31,5,3.8,1.0,FR1,Pellet,Left,7,9,7,2.4,0,FR1
2024-07-28 18:25:15,5,3.8,,FR1,Poke,Left,7,10,7,,0,FR1
2024-07-28 18:38:09,5,3.8,,FR1,Poke,Left,7,11,7,,0,FR1
2024-07-28 18:51:38,5,3.8,,FR1,Poke,Left,7,12,7,,0,FR1
2024-07-28 18:51:40,5,3.8,,FR1,Poke,Left,7,13,7,,0,FR1
2024-07-28 18:51:43,5,3.81,,FR1,Poke,Left,7,14,7,,0,FR1
2024-07-28 18:51:44,5,3.8,,FR1,Poke,Left,7,15,7,,0,FR1
2024-07-28 18:51:48,5,3.8,,FR1,Poke,Left,8,15,7,,0,FR1
