feedStart,feedEnd,feedDuration,filename,Device,Sex,Task,Filename
363973,364029,56,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
364622,364674,52,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
369655,369694,39,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
371198,371252,54,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
376998,377046,48,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
377810,377863,53,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
388037,388061,24,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
389496,389516,20,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
397001,397043,42,CASTLE_004_121224_00_.CSV,4,M,FR1 HFD,CASTLE_004_121224_00_.CSV
337271,337292,21,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
337387,337432,45,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
345608,345662,54,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
355858,355922,64,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
356021,356054,33,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
356141,356193,52,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
360231,360288,57,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
364019,364076,57,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
366057,366122,65,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
366263,366404,141,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
373555,373617,62,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
377131,377166,35,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
384895,384949,54,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
391250,391301,51,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
391643,391707,64,CASTLE_005_121224_00_.CSV,5,F,FR1 HFD,CASTLE_005_121224_00_.CSV
346174,346189,15,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
355987,356231,244,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
356598,356608,10,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
356697,356740,43,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
359866,360066,200,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
360606,360694,88,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
360923,360959,36,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
362094,362122,28,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
364318,364359,41,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
364852,364858,6,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
366214,366260,46,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
368193,368307,114,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
372195,372291,96,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
372529,372642,113,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
373026,373057,31,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
377851,377961,110,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
378128,378162,34,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
378362,378397,35,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
378853,378942,89,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
380958,381052,94,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
385422,385457,35,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
391591,391664,73,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
391756,391804,48,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
392554,392610,56,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
395074,395109,35,CASTLE_006_121224_00_.CSV,6,F,FR1 HFD,CASTLE_006_121224_00_.CSV
336462,336626,164,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
338278,338310,32,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
355268,355426,158,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
358745,358810,65,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
359979,360017,38,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
361431,361461,30,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
361879,361965,86,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
363801,363894,93,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
364594,364601,7,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
367398,367456,58,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
369529,369593,64,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
376352,376377,25,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
378327,378391,64,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
381294,381324,30,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
383172,383231,59,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
385058,385073,15,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
391350,391400,50,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
394664,394726,62,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
402542,402692,150,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
404265,404303,38,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
409786,409800,14,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
413788,413831,43,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
416248,416350,102,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
418763,418807,44,CASTLE_007_121224_00_.CSV,7,F,FR1 HFD,CASTLE_007_121224_00_.CSV
88904,89283,379,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
89403,89418,15,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
92869,93003,134,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
93689,93726,37,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
95725,95789,64,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
95972,96099,127,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
96593,96836,243,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
97511,97641,130,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
97836,97845,9,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
98327,98451,124,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
99272,99394,122,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
99494,99539,45,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
99689,99717,28,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
99973,100047,74,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
102194,102199,5,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
102363,102473,110,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
102751,102840,89,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
102903,103021,118,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
103161,103172,11,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
106364,106757,393,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
106944,107003,59,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
108029,108319,290,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
108823,108893,70,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
109861,110141,280,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
110508,110633,125,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
111576,111616,40,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
111840,111943,103,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
112514,112626,112,CASTLE_001_120424_00_.CSV,1,M,Free Chow,CASTLE_001_120424_00_.CSV
