device,mouse,date,weight,Weight gain,Weight gain per phase,Avg change,cage,day,device_w,device gain,Filtered device gain,Calories,Phase,New hopper weights
1,M5,4-Feb,28.71,-0.28,,,,7,447.15,5.41,5.41,16.771,Fr1 with chow,
2,M6,4-Feb,31.03,-0.08,,,,7,398.03,7.15,7.15,22.165,Fr1 with chow,
3,M7,4-Feb,30.6,-0.26,,,,7,449.19,4.8,4.8,14.88,Fr1 with chow,
4,M8,4-Feb,31.22,0.22,,,,7,443.16,6.23,6.23,19.313,Fr1 with chow,Pellet in cage
5,M9,4-Feb,26.74,-0.48,,,,7,472.9,6.13,6.13,19.003,Fr1 with chow,
6,M10,4-Feb,23.47,-0.51,,,,7,459.31,5.29,5.29,16.399,Fr1 with chow,Pellet in cage
7,M11,4-Feb,24.31,-0.19,,,,7,323.6,5.29,5.29,16.399,Fr1 with chow,
8,M12,4-Feb,23.42,-0.38,,,,7,422.98,6.46,6.46,20.026,Fr1 with chow,Pellet in cage
9,M13,4-Feb,26.02,-0.78,,,,7,326.41,3.58,3.58,11.098,Fr1 with chow,Pellet in cage
0,M14,4-Feb,22.88,-0.68,,,,7,331.03,4.16,4.16,12.896,Fr1 with chow,
1,M5,5-Feb,28.25,-0.46,,,,8,445.97,1.18,1.18,3.658,Fr1 with chow,
2,M6,5-Feb,31.85,0.82,,,,8,393.38,4.65,4.65,14.415,Fr1 with chow,
3,M7,5-Feb,30.59,-0.01,,,,8,445.11,4.08,4.08,12.648,Fr1 with chow,
4,M8,5-Feb,31.9,0.68,,,,8,439.03,4.13,4.13,12.803,Fr1 with chow,
5,M9,5-Feb,27.01,0.27,,,,8,469.78,3.12,3.12,9.672,Fr1 with chow,
6,M10,5-Feb,23.61,0.14,,,,8,457.97,1.34,1.34,4.154,Fr1 with chow,
7,M11,5-Feb,24.03,-0.28,,,,8,322.58,1.02,1.02,3.162,Fr1 with chow,
8,M12,5-Feb,23.84,0.42,,,,8,418.78,4.2,4.2,13.02,Fr1 with chow,
9,M13,5-Feb,26.03,0.01,,,,8,324.3,2.11,2.11,6.541,Fr1 with chow,
0,M14,5-Feb,23.42,0.54,,,,8,328.59,2.44,2.44,7.564,Fr1 with chow,
1,M5,6-Feb,29.01,0.76,,,,9,442.99,2.98,2.98,9.238,Fr1 with chow,
2,M6,6-Feb,31.26,-0.59,,,,9,389.03,4.35,4.35,13.485,Fr1 with chow,
3,M7,6-Feb,29.3,-1.29,,,,9,443.69,1.42,1.42,4.402,Fr1 with chow,475.65
4,M8,6-Feb,31.62,-0.28,,,,9,433.58,5.45,5.45,16.895,Fr1 with chow,478.99
5,M9,6-Feb,26.98,-0.03,,,,9,465.49,4.29,4.29,13.299,Fr1 with chow,
6,M10,6-Feb,23.81,0.2,,,,9,456,1.97,1.97,6.107,Fr1 with chow,
7,M11,6-Feb,24.02,-0.01,,,,9,319,3.58,3.58,11.098,Fr1 with chow,346.15
8,M12,6-Feb,23.97,0.13,,,,9,414.28,4.5,4.5,13.95,Fr1 with chow,434.88
9,M13,6-Feb,25.62,-0.41,,,,9,323.01,1.29,1.29,3.999,Fr1 with chow,
0,M14,6-Feb,23.78,0.36,,,,9,323.77,4.82,4.82,14.942,Fr1 with chow,
1,M5,7-Feb,29.57,0.56,,,,10,438.56,4.43,4.43,13.733,Fr1 with chow,471.19
2,M6,7-Feb,32.01,0.75,,,,10,383.6,5.43,5.43,16.833,Fr1 with chow,
3,M7,7-Feb,31.51,2.21,,,,10,471.11,4.54,4.54,14.074,Fr1 with chow,
4,M8,7-Feb,31.43,-0.19,,,,10,473.23,5.76,5.76,17.856,Fr1 with chow,
5,M9,7-Feb,27.31,0.33,,,,10,460.43,5.06,5.06,15.686,Fr1 with chow,479.51
6,M10,7-Feb,24.67,0.86,,,,10,452.03,3.97,3.97,12.307,Fr1 with chow,477.4
7,M11,7-Feb,24.55,0.53,,,,10,341.83,4.32,4.32,13.392,Fr1 with chow,
8,M12,7-Feb,24.51,0.54,,,,10,429.35,5.53,5.53,17.143,Fr1 with chow,
9,M13,7-Feb,26.9,1.28,,,,10,319.27,3.74,3.74,11.594,Fr1 with chow,
0,M14,7-Feb,24.31,0.53,,,,10,318.79,4.98,4.98,15.438,Fr1 with chow,
1,M5,8-Feb,28.78,-0.79,,,,11,466.76,4.43,4.43,13.733,Fr1 with chow,
2,M6,8-Feb,31.34,-0.67,,,,11,377.76,5.84,5.84,18.104,Fr1 with chow,
3,M7,8-Feb,30.9,-0.61,,,,11,465.7,5.41,5.41,16.771,Fr1 with chow,
4,M8,8-Feb,31.03,-0.4,,,,11,468.78,4.45,4.45,13.795,Fr1 with chow,
5,M9,8-Feb,26.83,-0.48,,,,11,476,3.51,3.51,10.881,Fr1 with chow,
6,M10,8-Feb,24.44,-0.23,,,,11,472.37,5.03,5.03,15.593,Fr1 with chow,
7,M11,8-Feb,24.32,-0.23,,,,11,337.81,4.02,4.02,12.462,Fr1 with chow,
8,M12,8-Feb,24.61,0.1,,,,11,423.97,5.38,5.38,16.678,Fr1 with chow,
9,M13,8-Feb,27.03,0.13,,,,11,315.2,4.07,4.07,12.617,Fr1 with chow,
0,M14,8-Feb,23.99,-0.32,,,,11,314.45,4.34,4.34,13.454,Fr1 with chow,350.03
1,M5,9-Feb,28.97,0.19,,,,12,462.51,4.25,4.25,13.175,Fr1 with chow,
2,M6,9-Feb,31.51,0.17,,,,12,373.27,4.49,4.49,13.919,Fr1 with chow,405.97
3,M7,9-Feb,30.83,-0.07,,,,12,461.38,4.32,4.32,13.392,Fr1 with chow,
4,M8,9-Feb,31.47,0.44,,,,12,462.66,6.12,6.12,18.972,Fr1 with chow,
5,M9,9-Feb,26.87,0.04,,,,12,472.5,3.5,3.5,10.85,Fr1 with chow,
6,M10,9-Feb,24.02,-0.42,,,,12,468.62,3.75,3.75,11.625,Fr1 with chow,
7,M11,9-Feb,24.5,0.18,,,,12,334.45,3.36,3.36,10.416,Fr1 with chow,
8,M12,9-Feb,24.46,-0.15,,,,12,419,4.97,4.97,15.407,Fr1 with chow,
9,M13,9-Feb,27.03,0,,,,12,311.61,3.59,3.59,11.129,Fr1 with chow,
0,M14,9-Feb,23.82,-0.17,,,,12,345.78,4.25,4.25,13.175,Fr1 with chow,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
