Filename,Mean_MealSize,Count_MealSize,Task
M_11_Andrews_FR1_fed01304262201.csv,4.925925925925926,27,FR1
M_12_Andrews_FR1_fed01404262202.csv,4.782608695652174,23,FR1
M_13_Andrews_FR1_fed01504262201.csv,5.7,10,FR1
M_14_Andrews_FR1_fed01804262201.csv,6.684210526315789,19,FR1
M_19_Creed_FR1_FED002052023.CSV,7.052631578947368,19,FR1
M_1_Andrews_FR1_fed01904262201.csv,5.7894736842105265,19,FR1
M_20_Creed_FR1_FED003030623Concat.csv,7.095238095238095,21,FR1
M_21_Creed_FR1_FED003052023.CSV,4.894736842105263,19,FR1
M_22_Creed_FR1_FED004030623.CSV,5.625,24,FR1
M_23_Creed_FR1_FED005030823Concat.csv,5.424242424242424,33,FR1
M_2_Andrews_FR1_fed02404262201.csv,5.782608695652174,23,FR1
M_31_Klappenbach_FR1_FED129FR1.CSV,6.0,27,FR1
M_32_Klappenbach_FR1_FED136FR1.CSV,7.133333333333334,30,FR1
M_33_Klappenbach_FR1_FED137FR1.CSV,7.785714285714286,28,FR1
M_34_Klappenbach_FR1_FED138FR1.CSV,6.129032258064516,31,FR1
M_35_Klappenbach_FR1_FED156FR1.CSV,6.15625,32,FR1
M_36_Klappenbach_FR1_FED157FR1.CSV,7.961538461538462,26,FR1
M_37_Klappenbach_FR1_FED158FR1.CSV,6.333333333333333,30,FR1
M_38_Klappenbach_FR1_FED159FR1.CSV,5.617647058823529,34,FR1
M_39_Westbrook_FR1_HAL17FR1.CSV,7.428571428571429,35,FR1
M_3_Andrews_FR1_fed02704262201.csv,4.368421052631579,19,FR1
M_40_Westbrook_FR1_HAL24FR1.CSV,5.214285714285714,28,FR1
M_41_Westbrook_FR1_HAL25FR1.CSV,5.705882352941177,34,FR1
M_42_Westbrook_FR1_HAL31FR1.CSV,6.5,22,FR1
M_43_Westbrook_FR1_HAL32FR1.CSV,5.714285714285714,35,FR1
M_44_Westbrook_FR1_HAL33FR1.CSV,4.7272727272727275,22,FR1
M_45_Westbrook_FR1_HAL35FR1.CSV,4.909090909090909,22,FR1
M_46_Westbrook_FR1_HAL41FR1.CSV,5.354838709677419,31,FR1
M_47_Westbrook_FR1_HAL4FR1.CSV,5.303030303030303,33,FR1
M_48_Westbrook_FR1_HAL5FR1.CSV,4.564102564102564,39,FR1
M_49_Westbrook_FR1_HAL6FR1.CSV,4.2,25,FR1
M_4_Andrews_FR1_fed09904262202.csv,4.666666666666667,12,FR1
M_59_Fobbs_FR1_FED006FR1Concat.csv,5.45,20,FR1
M_5_Andrews_FR1_fed00204262201.csv,8.210526315789474,19,FR1
M_60_Fobbs_FR1_FED007FR1Concat.csv,6.333333333333333,24,FR1
M_61_Fobbs_FR1_FED008FR1Concat.csv,6.473684210526316,19,FR1
M_62_Fobbs_FR1_FED010FR1Concat.csv,6.35,20,FR1
M_63_Fobbs_FR1_FED016FR1Concat.csv,7.214285714285714,14,FR1
M_64_Fobbs_FR1_FED017FR1Concat.csv,6.894736842105263,19,FR1
M_65_Fobbs_FR1_FED018FR1Concat.csv,4.666666666666667,21,FR1
M_66_Fobbs_FR1_FED019FR1Concat.csv,7.25,8,FR1
M_67_Fobbs_FR1_FED020FR1Concat.csv,7.090909090909091,11,FR1
M_6_Andrews_FR1_fed00404262201.csv,4.9411764705882355,17,FR1
M_72_FobbsWUSTL_FR1_FED001FR1Concat.csv,5.761904761904762,21,FR1
M_73_FobbsWUSTL_FR1_FED002FR1Concat.csv,5.476190476190476,21,FR1
M_74_FobbsWUSTL_FR1_FED003FR1Concat.csv,5.2631578947368425,19,FR1
M_75_FobbsWUSTL_FR1_FED004FR1Concat.csv,6.25,12,FR1
M_79_Kravitz_FR1_FED2FR1.csv,9.909090909090908,11,FR1
M_7_Andrews_FR1_fed00504262201.csv,4.875,8,FR1
M_80_Kravitz_FR1_FED3FR1.csv,9.307692307692308,13,FR1
M_81_Kravitz_FR1_FED4FR1.csv,6.40625,32,FR1
M_82_Kravitz_FR1_FED5FR1.csv,7.529411764705882,17,FR1
M_83_Kravitz_FR1_FED6FR1.csv,8.4375,16,FR1
M_84_Kravitz_FR1_FED7FR1.csv,7.571428571428571,21,FR1
M_85_Kravitz_FR1_FED8FR1.csv,7.5,22,FR1
M_8_Andrews_FR1_fed00604262201.csv,5.25,12,FR1
M_90_Maloney_FR1_D1Male.CSV,5.24,25,FR1
M_91_Maloney_FR1_D2Male.CSV,6.285714285714286,21,FR1
M_92_Maloney_FR1_D3Male.CSV,4.95,20,FR1
M_93_Maloney_FR1_D4Male.CSV,6.538461538461538,26,FR1
M_94_McCutcheon_FR1_FED00105102204.CSV,6.95,20,FR1
M_95_McCutcheon_FR1_FED00205102202.CSV,5.21875,32,FR1
M_96_McCutcheon_FR1_FED00305102203.CSV,5.304347826086956,23,FR1
M_97_McCutcheon_FR1_FED00405102204.CSV,5.590909090909091,22,FR1
M_98_McCutcheon_FR1_FED00505102203.CSV,5.318181818181818,22,FR1
M_99_McCutcheon_FR1_FED00605102202.CSV,5.0,20,FR1
M_9_Andrews_FR1_fed00804262204.csv,4.7894736842105265,19,FR1
