Meal_Size,Filename
5,M_11_Andrews_FR1_fed01304262201.csv
4,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
4,M_11_Andrews_FR1_fed01304262201.csv
6,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
5,M_11_Andrews_FR1_fed01304262201.csv
6,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
5,M_11_Andrews_FR1_fed01304262201.csv
5,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
5,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
7,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
7,M_11_Andrews_FR1_fed01304262201.csv
6,M_11_Andrews_FR1_fed01304262201.csv
7,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
4,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
8,M_11_Andrews_FR1_fed01304262201.csv
3,M_11_Andrews_FR1_fed01304262201.csv
14,M_11_Andrews_FR1_fed01304262201.csv
4,M_11_Andrews_FR1_fed01304262201.csv
4,M_11_Andrews_FR1_fed01304262201.csv
5,M_10_Andrews_FR1_fed00904262201.csv
6,M_10_Andrews_FR1_fed00904262201.csv
3,M_10_Andrews_FR1_fed00904262201.csv
3,M_10_Andrews_FR1_fed00904262201.csv
8,M_10_Andrews_FR1_fed00904262201.csv
9,M_10_Andrews_FR1_fed00904262201.csv
5,M_10_Andrews_FR1_fed00904262201.csv
4,M_10_Andrews_FR1_fed00904262201.csv
5,M_10_Andrews_FR1_fed00904262201.csv
4,M_10_Andrews_FR1_fed00904262201.csv
8,M_10_Andrews_FR1_fed00904262201.csv
7,M_10_Andrews_FR1_fed00904262201.csv
3,M_10_Andrews_FR1_fed00904262201.csv
3,M_10_Andrews_FR1_fed00904262201.csv
4,M_10_Andrews_FR1_fed00904262201.csv
7,M_13_Andrews_FR1_fed01504262201.csv
4,M_13_Andrews_FR1_fed01504262201.csv
3,M_13_Andrews_FR1_fed01504262201.csv
4,M_13_Andrews_FR1_fed01504262201.csv
8,M_13_Andrews_FR1_fed01504262201.csv
9,M_13_Andrews_FR1_fed01504262201.csv
7,M_13_Andrews_FR1_fed01504262201.csv
3,M_13_Andrews_FR1_fed01504262201.csv
5,M_13_Andrews_FR1_fed01504262201.csv
7,M_13_Andrews_FR1_fed01504262201.csv
5,M_12_Andrews_FR1_fed01404262202.csv
5,M_12_Andrews_FR1_fed01404262202.csv
6,M_12_Andrews_FR1_fed01404262202.csv
3,M_12_Andrews_FR1_fed01404262202.csv
9,M_12_Andrews_FR1_fed01404262202.csv
8,M_12_Andrews_FR1_fed01404262202.csv
6,M_12_Andrews_FR1_fed01404262202.csv
