Meal_Size,Filename
5,M_10_Andrews_Free_fed00902032200.csv
8,M_10_Andrews_Free_fed00902032200.csv
4,M_10_Andrews_Free_fed00902032200.csv
5,M_10_Andrews_Free_fed00902032200.csv
5,M_10_Andrews_Free_fed00902032200.csv
6,M_10_Andrews_Free_fed00902032200.csv
3,M_10_Andrews_Free_fed00902032200.csv
5,M_10_Andrews_Free_fed00902032200.csv
9,M_10_Andrews_Free_fed00902032200.csv
4,M_10_Andrews_Free_fed00902032200.csv
10,M_10_Andrews_Free_fed00902032200.csv
4,M_10_Andrews_Free_fed00902032200.csv
8,M_10_Andrews_Free_fed00902032200.csv
5,M_10_Andrews_Free_fed00902032200.csv
6,M_10_Andrews_Free_fed00902032200.csv
4,M_10_Andrews_Free_fed00902032200.csv
5,M_10_Andrews_Free_fed00902032200.csv
7,M_10_Andrews_Free_fed00902032200.csv
10,M_10_Andrews_Free_fed00902032200.csv
11,M_10_Andrews_Free_fed00902032200.csv
7,M_10_Andrews_Free_fed00902032200.csv
9,M_12_Andrews_Free_fed01402032200.csv
13,M_12_Andrews_Free_fed01402032200.csv
4,M_12_Andrews_Free_fed01402032200.csv
7,M_12_Andrews_Free_fed01402032200.csv
6,M_12_Andrews_Free_fed01402032200.csv
7,M_12_Andrews_Free_fed01402032200.csv
4,M_12_Andrews_Free_fed01402032200.csv
8,M_12_Andrews_Free_fed01402032200.csv
6,M_12_Andrews_Free_fed01402032200.csv
5,M_12_Andrews_Free_fed01402032200.csv
3,M_12_Andrews_Free_fed01402032200.csv
5,M_12_Andrews_Free_fed01402032200.csv
7,M_12_Andrews_Free_fed01402032200.csv
7,M_12_Andrews_Free_fed01402032200.csv
8,M_12_Andrews_Free_fed01402032200.csv
9,M_12_Andrews_Free_fed01402032200.csv
3,M_12_Andrews_Free_fed01402032200.csv
7,M_12_Andrews_Free_fed01402032200.csv
9,M_12_Andrews_Free_fed01402032200.csv
9,M_12_Andrews_Free_fed01402032200.csv
16,M_12_Andrews_Free_fed01402032200.csv
10,M_12_Andrews_Free_fed01402032200.csv
9,M_12_Andrews_Free_fed01402032200.csv
8,M_12_Andrews_Free_fed01402032200.csv
5,M_12_Andrews_Free_fed01402032200.csv
5,M_12_Andrews_Free_fed01402032200.csv
4,M_12_Andrews_Free_fed01402032200.csv
9,M_12_Andrews_Free_fed01402032200.csv
12,M_12_Andrews_Free_fed01402032200.csv
6,M_12_Andrews_Free_fed01402032200.csv
3,M_12_Andrews_Free_fed01402032200.csv
3,M_12_Andrews_Free_fed01402032200.csv
7,M_14_Andrews_Free_fed01802032200.csv
9,M_14_Andrews_Free_fed01802032200.csv
9,M_14_Andrews_Free_fed01802032200.csv
4,M_14_Andrews_Free_fed01802032200.csv
6,M_14_Andrews_Free_fed01802032200.csv
6,M_14_Andrews_Free_fed01802032200.csv
3,M_14_Andrews_Free_fed01802032200.csv
3,M_14_Andrews_Free_fed01802032200.csv
10,M_14_Andrews_Free_fed01802032200.csv
7,M_14_Andrews_Free_fed01802032200.csv
5,M_14_Andrews_Free_fed01802032200.csv
6,M_14_Andrews_Free_fed01802032200.csv
6,M_14_Andrews_Free_fed01802032200.csv
29,M_14_Andrews_Free_fed01802032200.csv
29,M_14_Andrews_Free_fed01802032200.csv
8,M_14_Andrews_Free_fed01802032200.csv
4,M_14_Andrews_Free_fed01802032200.csv
3,M_14_Andrews_Free_fed01802032200.csv
6,M_14_Andrews_Free_fed01802032200.csv
4,M_14_Andrews_Free_fed01802032200.csv
3,M_14_Andrews_Free_fed01802032200.csv
9,M_14_Andrews_Free_fed01802032200.csv
4,M_14_Andrews_Free_fed01802032200.csv
13,M_14_Andrews_Free_fed01802032200.csv
8,M_14_Andrews_Free_fed01802032200.csv
4,M_14_Andrews_Free_fed01802032200.csv
8,M_14_Andrews_Free_fed01802032200.csv
4,M_14_Andrews_Free_fed01802032200.csv
6,M_14_Andrews_Free_fed01802032200.csv
3,M_14_Andrews_Free_fed01802032200.csv
5,M_14_Andrews_Free_fed01802032200.csv
4,M_3_Andrews_Free_fed02702032200.csv
3,M_3_Andrews_Free_fed02702032200.csv
12,M_3_Andrews_Free_fed02702032200.csv
3,M_3_Andrews_Free_fed02702032200.csv
9,M_3_Andrews_Free_fed02702032200.csv
11,M_3_Andrews_Free_fed02702032200.csv
6,M_3_Andrews_Free_fed02702032200.csv
4,M_3_Andrews_Free_fed02702032200.csv
3,M_3_Andrews_Free_fed02702032200.csv
4,M_3_Andrews_Free_fed02702032200.csv
5,M_3_Andrews_Free_fed02702032200.csv
5,M_3_Andrews_Free_fed02702032200.csv
3,M_3_Andrews_Free_fed02702032200.csv
18,M_3_Andrews_Free_fed02702032200.csv
9,M_3_Andrews_Free_fed02702032200.csv
7,M_3_Andrews_Free_fed02702032200.csv
6,M_3_Andrews_Free_fed02702032200.csv
6,M_3_Andrews_Free_fed02702032200.csv
14,M_3_Andrews_Free_fed02702032200.csv
3,M_3_Andrews_Free_fed02702032200.csv
3,M_3_Andrews_Free_fed02702032200.csv
4,M_3_Andrews_Free_fed02702032200.csv
3,M_3_Andrews_Free_fed02702032200.csv
9,M_2_Andrews_Free_fed02402032200.csv
5,M_2_Andrews_Free_fed02402032200.csv
10,M_2_Andrews_Free_fed02402032200.csv
3,M_2_Andrews_Free_fed02402032200.csv
20,M_2_Andrews_Free_fed02402032200.csv
6,M_2_Andrews_Free_fed02402032200.csv
7,M_2_Andrews_Free_fed02402032200.csv
10,M_2_Andrews_Free_fed02402032200.csv
