Sex,ID,Lab,Task,Filename,Duration_Hours,Pellet_Count,Retrieval_Time,Pellets per Hour
F,28,Klappenbach,Free,FED147FF.CSV,23.9375,218,8.77,9.10704960835509
F,26,Klappenbach,Free,FED141FF.CSV,23.8675,205,8.23,8.589085576620928
M,31,Klappenbach,Free,FED129FF.CSV,23.961666666666666,222,13.52,9.264797941156013
M,34,Klappenbach,Free,FED138FF.CSV,23.158055555555556,200,16.10,8.636303662032649
F,27,Klappenbach,Free,FED146FF.CSV,22.95111111111111,221,7.25,9.629163439194423
M,33,Klappenbach,FR1,FED137FR1.CSV,23.59111111111111,248,0.85,10.512434061793519
F,25,Klappenbach,FR1,FED140FR1.CSV,23.92222222222222,216,0.59,9.029261495587553
M,37,Klappenbach,FR1,FED158FR1.CSV,23.982222222222223,204,0.46,8.506300963676797
F,27,Klappenbach,FR1,FED146FR1.CSV,23.4175,217,0.52,9.266574143268922
F,26,Klappenbach,FR1,FED141FR1.CSV,23.906944444444445,210,0.39,8.784058560390402
M,35,Klappenbach,FR1,FED156FR1.CSV,23.97361111111111,223,0.26,9.301894444122588
M,34,Klappenbach,FR1,FED138FR1.CSV,23.727777777777778,201,1.05,8.47108405525638
M,38,Klappenbach,FR1,FED159FR1.CSV,23.75,224,0.59,9.43157894736842
F,28,Klappenbach,FR1,FED147FR1.CSV,23.95888888888889,263,0.46,10.977136762046097
F,24,Klappenbach,FR1,FED139FR1.CSV,23.601666666666667,223,,9.448485276463527
F,29,Klappenbach,FR1,FED150FR1.CSV,23.664166666666667,232,0.59,9.803852519632356
F,30,Klappenbach,FR1,FED152FR1.CSV,23.91777777777778,276,,11.539533587289789
M,36,Klappenbach,FR1,FED157FR1.CSV,23.892777777777777,227,0.85,9.500778942962773
M,31,Klappenbach,FR1,FED129FR1.CSV,23.363888888888887,173,1.11,7.4045892283913926
M,32,Klappenbach,FR1,FED136FR1.CSV,23.50638888888889,233,,9.912198811197902
M,63,Fobbs,Free,FED01603292302.CSV,19.916944444444443,98,0.06,4.920433466757786
F,50,Fobbs,Free,FED001032923.CSV,23.139166666666668,225,Timed_out,9.723772823855656
F,52,Fobbs,Free,FED00303292300.CSV,22.794444444444444,239,Timed_out,10.485010967584694
F,57,Fobbs,Free,FED01503292302.CSV,13.212222222222222,105,0.06,7.947186948112018
M,59,Fobbs,Free,FED00603292301.CSV,23.68722222222222,330,13.37,13.931561789056454
M,66,Fobbs,Free,FED01903292300.CSV,23.093333333333334,322,Timed_out,13.943418013856812
F,54,Fobbs,Free,FED012concat.csv,22.4775,327,12.08,14.547881214547882
M,60,Fobbs,Free,FED00703292300.CSV,23.160555555555554,329,Timed_out,14.205186020293123
M,67,Fobbs,Free,FED02003292301.CSV,23.98,364,13.13,15.17931609674729
F,55,Fobbs,Free,FED01303292300.CSV,19.884166666666665,227,,11.41611835212271
M,65,Fobbs,Free,FED01803292300.CSV,22.015833333333333,256,Timed_out,11.627995003595897
F,53,Fobbs,Free,FED01103292302.CSV,22.899444444444445,341,Timed_out,14.891190955627259
M,64,Fobbs,Free,FED01703292300.CSV,22.54722222222222,308,,13.660219292842184
F,51,Fobbs,Free,FED00203292301.CSV,22.93861111111111,235,6.12,10.244735344336938
F,58,Fobbs,Free,FED02403292303.CSV,14.1275,187,0.42,13.23659529286852
M,62,Fobbs,Free,FED01003292300.CSV,23.281388888888888,269,18.91,11.554293486690609
M,61,Fobbs,Free,FED00803292302.CSV,22.966666666666665,303,3.85,13.193033381712628
F,56,Fobbs,Free,FED01403292302.CSV,23.737222222222222,168,Timed_out,7.077491983991387
M,65,Fobbs,FR1,FED018FR1Concat.csv,23.99888888888889,143,,5.9586091948701325
F,58,Fobbs,FR1,FED024FR1Concat.csv,23.93166666666667,213,11.37,8.900341249390625
M,62,Fobbs,FR1,FED010FR1Concat.csv,23.978055555555557,147,1.53,6.130605530519804
F,55,Fobbs,FR1,FED013FR1Concat.csv,23.988888888888887,180,,7.503473830477073
M,67,Fobbs,FR1,FED020FR1Concat.csv,23.933055555555555,115,,4.8050696967235
M,60,Fobbs,FR1,FED007FR1Concat.csv,22.8025,188,8.35,8.24471000986734
