Interval,Filename
21.0,M_11_Andrews_Free_fed01302032200.csv
2243.0,M_11_Andrews_Free_fed01302032200.csv
65.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
2249.0,M_11_Andrews_Free_fed01302032200.csv
18.0,M_11_Andrews_Free_fed01302032200.csv
16.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
21.0,M_11_Andrews_Free_fed01302032200.csv
735.0,M_11_Andrews_Free_fed01302032200.csv
3047.0,M_11_Andrews_Free_fed01302032200.csv
23.0,M_11_Andrews_Free_fed01302032200.csv
18.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
947.0,M_11_Andrews_Free_fed01302032200.csv
24.0,M_11_Andrews_Free_fed01302032200.csv
16.0,M_11_Andrews_Free_fed01302032200.csv
15.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
1618.0,M_11_Andrews_Free_fed01302032200.csv
18.0,M_11_Andrews_Free_fed01302032200.csv
17.0,M_11_Andrews_Free_fed01302032200.csv
17.0,M_11_Andrews_Free_fed01302032200.csv
18.0,M_11_Andrews_Free_fed01302032200.csv
3725.0,M_11_Andrews_Free_fed01302032200.csv
24.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
34.0,M_11_Andrews_Free_fed01302032200.csv
23.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
23.0,M_11_Andrews_Free_fed01302032200.csv
2985.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
33.0,M_11_Andrews_Free_fed01302032200.csv
387.0,M_13_Andrews_Free_fed01502032200.csv
72.0,M_13_Andrews_Free_fed01502032200.csv
10.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
54.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
360.0,M_13_Andrews_Free_fed01502032200.csv
6350.0,M_13_Andrews_Free_fed01502032200.csv
5465.0,M_13_Andrews_Free_fed01502032200.csv
30.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
25.0,M_13_Andrews_Free_fed01502032200.csv
127.0,M_13_Andrews_Free_fed01502032200.csv
92.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
19.0,M_13_Andrews_Free_fed01502032200.csv
1098.0,M_13_Andrews_Free_fed01502032200.csv
10660.0,M_13_Andrews_Free_fed01502032200.csv
12.0,M_13_Andrews_Free_fed01502032200.csv
24.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
12.0,M_13_Andrews_Free_fed01502032200.csv
21.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
3281.0,M_13_Andrews_Free_fed01502032200.csv
21.0,M_13_Andrews_Free_fed01502032200.csv
12.0,M_13_Andrews_Free_fed01502032200.csv
24.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
21.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
2241.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
21.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
318.0,M_13_Andrews_Free_fed01502032200.csv
564.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
26.0,M_13_Andrews_Free_fed01502032200.csv
49.0,M_13_Andrews_Free_fed01502032200.csv
41.0,M_13_Andrews_Free_fed01502032200.csv
237.0,M_13_Andrews_Free_fed01502032200.csv
3.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
4.0,M_13_Andrews_Free_fed01502032200.csv
7.0,M_13_Andrews_Free_fed01502032200.csv
215.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
417.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
167.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
15.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
31.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
1072.0,M_13_Andrews_Free_fed01502032200.csv
13.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
30.0,M_13_Andrews_Free_fed01502032200.csv
18.0,M_13_Andrews_Free_fed01502032200.csv
16.0,M_13_Andrews_Free_fed01502032200.csv
63.0,M_13_Andrews_Free_fed01502032200.csv
17.0,M_13_Andrews_Free_fed01502032200.csv
186.0,M_13_Andrews_Free_fed01502032200.csv
10.0,M_13_Andrews_Free_fed01502032200.csv
3.0,M_13_Andrews_Free_fed01502032200.csv
2.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
4.0,M_13_Andrews_Free_fed01502032200.csv
3.0,M_13_Andrews_Free_fed01502032200.csv
7.0,M_13_Andrews_Free_fed01502032200.csv
38.0,M_13_Andrews_Free_fed01502032200.csv
8.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
1.0,M_13_Andrews_Free_fed01502032200.csv
4.0,M_13_Andrews_Free_fed01502032200.csv
4.0,M_13_Andrews_Free_fed01502032200.csv
61.0,M_13_Andrews_Free_fed01502032200.csv
125.0,M_13_Andrews_Free_fed01502032200.csv
10.0,M_13_Andrews_Free_fed01502032200.csv
220.0,M_13_Andrews_Free_fed01502032200.csv
6.0,M_13_Andrews_Free_fed01502032200.csv
60.0,M_13_Andrews_Free_fed01502032200.csv
694.0,M_13_Andrews_Free_fed01502032200.csv
26.0,M_13_Andrews_Free_fed01502032200.csv
49.0,M_13_Andrews_Free_fed01502032200.csv
14.0,M_13_Andrews_Free_fed01502032200.csv
