MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 14:24:02,8,4.0,,FR1,Poke,Left,19,36,6,,0,FR1
2024-07-28 14:24:03,8,4.0,,FR1,Poke,Left,19,37,6,,0,FR1
2024-07-28 14:24:06,8,4.0,,FR1,Poke,Left,19,38,6,,0,FR1
2024-07-28 14:24:12,8,4.0,,FR1,Poke,Left,19,39,6,,0,FR1
2024-07-28 14:25:01,8,4.0,,FR1,Poke,Left,19,40,6,,0,FR1
2024-07-28 14:27:35,8,4.0,,FR1,Poke,Left,19,41,6,,0,FR1
2024-07-28 14:27:54,8,4.0,,FR1,Poke,Left,19,42,6,,0,FR1
2024-07-28 14:50:03,8,4.0,,FR1,Poke,Left,19,43,6,,0,FR1
2024-07-28 15:00:44,8,4.0,,FR1,Poke,Left,19,44,6,,0,FR1
2024-07-28 15:01:25,8,4.0,,FR1,Poke,Left,19,45,6,,0,FR1
2024-07-28 15:14:47,8,4.0,,FR1,Poke,Left,19,46,6,,0,FR1
2024-07-28 15:40:34,8,3.99,,FR1,Poke,Left,19,47,6,,0,FR1
2024-07-28 15:42:26,8,4.0,,FR1,Poke,Left,19,48,6,,0,FR1
2024-07-28 15:42:27,8,4.0,,FR1,Poke,Left,19,49,6,,0,FR1
2024-07-28 15:42:30,8,4.0,,FR1,Poke,Left,19,50,6,,0,FR1
2024-07-28 15:43:01,8,4.0,,FR1,Poke,Left,19,51,6,,0,FR1
2024-07-28 15:43:03,8,4.0,,FR1,Poke,Left,19,52,6,,0,FR1
2024-07-28 15:44:39,8,4.0,,FR1,Poke,Left,19,53,6,,0,FR1
2024-07-28 15:48:15,8,4.0,,FR1,Poke,Left,19,54,6,,0,FR1
2024-07-28 15:48:16,8,4.0,,FR1,Poke,Left,19,55,6,,0,FR1
2024-07-28 15:48:29,8,4.0,,FR1,Poke,Left,19,56,6,,0,FR1
2024-07-28 15:48:37,8,4.0,,FR1,Poke,Left,19,57,6,,0,FR1
2024-07-28 15:48:38,8,4.0,,FR1,Poke,Left,19,58,6,,0,FR1
2024-07-28 15:48:45,8,4.0,,FR1,Poke,Left,19,59,6,,0,FR1
2024-07-28 15:48:46,8,3.99,,FR1,Poke,Left,19,60,6,,0,FR1
2024-07-28 15:48:49,8,4.0,,FR1,Poke,Left,19,61,6,,0,FR1
2024-07-28 15:48:52,8,4.0,,FR1,Poke,Left,19,62,6,,0,FR1
2024-07-28 15:48:55,8,4.0,,FR1,Poke,Left,19,63,6,,0,FR1
2024-07-28 15:48:58,8,4.0,,FR1,Poke,Left,19,64,6,,0,FR1
2024-07-28 15:48:59,8,4.0,,FR1,Poke,Left,19,65,6,,0,FR1
2024-07-28 15:49:01,8,4.0,,FR1,Poke,Left,19,66,6,,0,FR1
2024-07-28 15:49:01,8,3.99,,FR1,Poke,Left,19,67,6,,0,FR1
2024-07-28 15:49:03,8,3.99,,FR1,Poke,Left,19,68,6,,0,FR1
2024-07-28 15:49:03,8,3.99,,FR1,Poke,Left,19,69,6,,0,FR1
2024-07-28 15:49:04,8,4.0,,FR1,Poke,Left,19,70,6,,0,FR1
2024-07-28 15:49:05,8,4.0,,FR1,Poke,Left,19,71,6,,0,FR1
2024-07-28 15:49:06,8,4.0,,FR1,Poke,Left,19,72,6,,0,FR1
2024-07-28 15:49:07,8,4.0,,FR1,Poke,Left,19,73,6,,0,FR1
2024-07-28 15:49:08,8,4.0,,FR1,Poke,Left,19,74,6,,0,FR1
2024-07-28 15:49:10,8,4.0,,FR1,Poke,Left,19,75,6,,0,FR1
2024-07-28 15:49:11,8,4.0,,FR1,Poke,Left,19,76,6,,0,FR1
2024-07-28 15:50:43,8,4.0,,FR1,Poke,Left,19,77,6,,0,FR1
2024-07-28 15:52:13,8,4.0,,FR1,Poke,Left,20,77,6,,0,FR1
2024-07-28 15:52:13,8,4.0,,FR1,Poke,Left,21,77,6,,0,FR1
2024-07-28 15:52:19,8,4.0,3.0,FR1,Pellet,Left,21,77,7,0.75,0,FR1
2024-07-28 15:53:47,8,4.0,,FR1,Poke,Left,22,77,7,,0,FR1
2024-07-28 15:53:51,8,4.0,1.0,FR1,Pellet,Left,22,77,8,2.91,0,FR1
2024-07-28 16:02:47,8,4.0,,FR1,Poke,Left,22,78,8,,0,FR1
2024-07-28 16:03:07,8,4.0,,FR1,Poke,Left,23,78,8,,0,FR1
2024-07-28 16:03:08,8,4.0,1.0,FR1,Pellet,Left,23,78,9,0.63,0,FR1
2024-07-28 16:04:01,8,4.0,,FR1,Poke,Left,24,78,9,,0,FR1
2024-07-28 16:04:03,8,4.0,2.0,FR1,Pellet,Left,24,78,10,1.13,0,FR1
2024-07-28 17:24:51,8,4.0,,FR1,Poke,Left,24,79,10,,0,FR1
2024-07-28 17:44:33,8,3.99,,FR1,Poke,Left,25,79,10,,0,FR1
2024-07-28 17:44:34,8,3.99,1.0,FR1,Pellet,Left,25,79,11,0.5,0,FR1
2024-07-28 17:45:19,8,3.99,,FR1,Poke,Left,26,79,11,,0,FR1
2024-07-28 17:45:20,8,3.99,1.0,FR1,Pellet,Left,26,79,12,0.5,0,FR1
