MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:41:16,7,3.76,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:43:49,7,3.77,,FR1,Poke,Left,1,1,0,,0,FR1
2024-07-28 10:45:28,7,3.77,,FR1,Poke,Left,2,1,0,,0,FR1
2024-07-28 10:55:03,7,3.76,1.0,FR1,Pellet,Left,2,1,1,,0,FR1
2024-07-28 12:39:14,7,3.76,,FR1,Poke,Left,2,2,1,,0,FR1
2024-07-28 17:46:10,7,3.75,,FR1,Poke,Left,2,3,1,,0,FR1
2024-07-28 18:11:08,7,3.74,,FR1,Poke,Left,3,3,1,,0,FR1
2024-07-28 18:11:11,7,3.76,3.0,FR1,Pellet,Left,3,3,2,0.06,0,FR1
2024-07-28 18:22:54,7,3.75,,FR1,Poke,Left,3,4,2,,0,FR1
2024-07-28 18:46:30,7,3.75,,FR1,Poke,Left,4,4,2,,0,FR1
2024-07-28 18:46:47,7,3.74,1.0,FR1,Pellet,Left,4,4,3,16.75,0,FR1
2024-07-28 19:44:30,7,3.74,,FR1,Poke,Left,5,4,3,,0,FR1
2024-07-28 19:44:35,7,3.75,1.0,FR1,Pellet,Left,5,4,4,4.75,0,FR1
2024-07-28 19:52:09,7,3.74,,FR1,Poke,Left,5,5,4,,0,FR1
2024-07-28 19:53:42,7,3.74,,FR1,Poke,Left,6,5,4,,0,FR1
2024-07-28 19:53:43,7,3.74,,FR1,Poke,Left,7,5,4,,0,FR1
2024-07-28 19:53:47,7,3.74,2.0,FR1,Pellet,Left,7,5,5,1.01,0,FR1
2024-07-28 20:06:46,7,3.74,,FR1,Poke,Left,7,6,5,,0,FR1
2024-07-28 21:09:49,7,3.74,,FR1,Poke,Left,8,6,5,,0,FR1
2024-07-28 21:09:51,7,3.74,1.0,FR1,Pellet,Left,8,6,6,1.32,0,FR1
2024-07-28 21:11:52,7,3.74,,FR1,Poke,Left,9,6,6,,0,FR1
2024-07-28 21:11:53,7,3.74,1.0,FR1,Pellet,Left,9,6,7,0.82,0,FR1
2024-07-28 21:13:41,7,3.74,,FR1,Poke,Left,10,6,7,,0,FR1
2024-07-28 21:13:43,7,3.74,1.0,FR1,Pellet,Left,10,6,8,1.13,0,FR1
2024-07-28 21:17:28,7,3.74,,FR1,Poke,Left,11,6,8,,0,FR1
2024-07-28 21:17:32,7,3.74,2.0,FR1,Pellet,Left,11,6,9,0.82,0,FR1
2024-07-28 21:19:34,7,3.74,,FR1,Poke,Left,11,7,9,,0,FR1
2024-07-28 21:19:51,7,3.74,,FR1,Poke,Left,12,7,9,,0,FR1
2024-07-28 21:19:53,7,3.75,2.0,FR1,Pellet,Left,12,7,10,0.5,0,FR1
2024-07-28 21:28:12,7,3.74,,FR1,Poke,Left,12,8,10,,0,FR1
2024-07-28 21:36:48,7,3.74,,FR1,Poke,Left,13,8,10,,0,FR1
2024-07-28 21:36:50,7,3.74,1.0,FR1,Pellet,Left,13,8,11,0.69,0,FR1
2024-07-28 21:38:45,7,3.74,,FR1,Poke,Left,13,9,11,,0,FR1
2024-07-28 23:30:47,7,3.74,,FR1,Poke,Left,13,10,11,,0,FR1
2024-07-28 23:52:04,7,3.74,,FR1,Poke,Left,14,10,11,,0,FR1
2024-07-28 23:52:05,7,3.74,1.0,FR1,Pellet,Left,14,10,12,1.07,0,FR1
2024-07-28 23:55:37,7,3.74,,FR1,Poke,Left,14,11,12,,0,FR1
2024-07-28 23:55:40,7,3.74,,FR1,Poke,Left,15,11,12,,0,FR1
2024-07-28 23:55:42,7,3.74,2.0,FR1,Pellet,Left,15,11,13,0.44,0,FR1
2024-07-28 23:57:13,7,3.74,,FR1,Poke,Left,16,11,13,,0,FR1
2024-07-28 23:57:14,7,3.74,1.0,FR1,Pellet,Left,16,11,14,0.31,0,FR1
2024-07-28 23:58:33,7,3.74,,FR1,Poke,Left,17,11,14,,0,FR1
2024-07-28 23:58:34,7,3.74,1.0,FR1,Pellet,Left,17,11,15,0.31,0,FR1
2024-07-28 23:59:30,7,3.74,,FR1,Poke,Left,18,11,15,,0,FR1
2024-07-28 23:59:31,7,3.74,2.0,FR1,Pellet,Left,18,11,16,0.06,0,FR1
