,Filename,IPI,Task,Mouse
0,FED001_FR1concat.csv,37.06451613,FR1,1
1,FED002_FR1concat.csv,30.41830065,FR1,2
2,FED003_FR1concat.csv,26.73170732,FR1,3
3,FED004_FR1concat.csv,37.6504065,FR1,4
4,FED005_FR1concat.csv,34.73049645,FR1,5
5,FED006_FR1concat.csv,32.2027027,FR1,6
6,FED007_FR1concat.csv,31.85955056,FR1,7
7,FED008_FR1concat.csv,35.88950276,FR1,8
8,FED009_FR1concat.csv,38.45652174,FR1,9
9,FED001_072224_00.CSV,19.37179487,Free,1
10,FED002_072224_00.CSV,16.57038835,Free,2
11,FED003_072224_00.CSV,18.95771144,Free,3
12,FED004_072224_00.CSV,14.04773869,Free,4
13,FED005_072224_00.CSV,14.05309735,Free,5
14,FED006_072224_00.CSV,15.27654321,Free,6
15,FED007_072124_00.CSV,16.29339853,Free,7
16,FED008_072224_00.CSV,18.47027027,Free,8
17,FED009_072224_00.CSV,13.26700252,Free,9
18,FED001_072424_00.CSV,44.71835443,Free Timeout,1
19,FED002_072424_01.CSV,44.69082126,Free Timeout,2
20,FED003_072424_00.CSV,48.51636364,Free Timeout,3
21,FED004_072424_00.CSV,42.90572391,Free Timeout,4
22,FED005_072424_01.CSV,46.5,Free Timeout,5
23,FED006_072424_00.CSV,40.69662921,Free Timeout,6
24,FED007_072424_01.CSV,46.02719033,Free Timeout,7
25,FED008_072424_01.CSV,47.25294118,Free Timeout,8
26,FED009_072424_00.CSV,45.29602888,Free Timeout,9
